trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
405,1,3,3,1,3,-0,1,0.926972195506096,0.164869649335742,0,1,1,0,0.174,0.434,0.71,0.216,0.22,0.68
421,1,3,3,1,3,-0,1,0.977810567244887,0.155599376186728,0,1,1,0,0.223,0.475,0.715,0.212,0.196,0.472
426,1,3,3,1,3,-0,1,1.03724583610892,0.173216465860605,0,1,1,0,0.151,0.431,0.811,0.24,0.34,0.816
435,3,1,3,1,3,1,1,0.91715650446713,0.196211928501725,1,0,0,1,0.14,0.388,0.688,0.196,0.256,0.488
448,2,3,3,2,3,-0,1,0.957144038751721,0.14959254860878,0,1,1,0,0.211,0.467,0.735,0.216,0.212,0.628
451,4,3,3,4,4,1,0,0.986949460580945,0.144483568146825,0,1,1,0,0.173,0.421,NaN,0.2,0.892,NaN
480,3,5,3,5,5,-0,0,0.896948428824544,0.161526901647449,1,0,0,1,0.184,0.448,NaN,0.208,1.032,NaN
490,3,3,3,3,3,-0,1,1.01699057593942,0.186604298651218,0,1,1,0,0.154,0.418,0.726,0.22,0.264,0.772
504,2,3,3,2,3,-0,1,1.16712832264602,0.198777852579951,0,1,1,0,0.218,0.498,0.91,0.236,0.36,0.6
522,4,3,3,4,4,1,0,1.06716135703027,0.16659951210022,0,1,1,0,0.207,0.447,NaN,0.188,0.816,NaN
527,3,1,3,1,3,1,1,0.927127061411738,0.144722500815988,1,0,0,1,0.188,0.44,0.72,0.196,0.232,0.48
538,3,3,3,3,3,1,0,0.757109098136425,0.129095353186131,0,1,1,0,0.163,0.395,NaN,0.188,0.652,NaN
544,4,3,3,4,4,1,0,1.07674495503306,0.145750500261784,0,1,1,0,0.176,0.44,NaN,0.22,0.952,NaN
564,2,3,3,2,3,-0,1,1.05738477408886,0.199617078527808,0,1,1,0,0.167,0.423,0.759,0.212,0.296,0.664
571,3,3,3,3,3,1,1,0.948001096025109,0.170361300930381,1,0,0,1,0.182,0.482,0.778,0.248,0.252,0.324
573,3,3,3,3,3,-0,1,1.22715238668025,0.163847101852298,0,1,1,0,0.2,0.464,0.888,0.22,0.372,0.6
4,3,3,3,3,3,1,1,0.947235642001033,0.141216402873397,1,0,0,1,0.158,0.386,0.758,0.176,0.328,0.688
23,2,3,3,2,2,1,0,1.00729842856526,0.16963117569685,0,1,1,0,0.248,0.516,NaN,0.208,0.988,NaN
33,3,3,3,3,3,-0,1,0.90722387470305,0.179458228871226,0,1,1,0,0.167,0.419,0.687,0.192,0.212,0.52
43,2,3,3,2,3,-0,1,0.927042866125703,0.1564055159688,0,1,1,0,0.156,0.376,0.664,0.176,0.232,0.896
47,5,3,3,5,5,1,0,0.85723484121263,0.149486798793077,0,1,1,0,0.149,0.409,NaN,0.2,0.896,NaN
48,3,1,3,1,1,-0,0,0.982774965465069,0.167354125529528,1,0,0,1,0.184,0.408,0.712,0.172,0.248,0.188
55,3,5,3,5,5,-0,0,1.06715745665133,0.156600130721927,1,0,0,1,0.16,0.368,0.692,0.152,0.268,0.104
74,5,3,3,5,5,1,0,0.877192191779613,0.154468862339854,0,1,1,0,0.167,0.431,NaN,0.22,0.716,NaN
77,3,3,3,3,3,-0,1,0.876973329111934,0.135414121672511,0,1,1,0,0.158,0.418,0.694,0.204,0.236,0.884
79,3,2,3,2,2,-0,0,1.13713291846216,0.163621472194791,1,0,0,1,0.145,0.429,0.689,0.228,0.204,0.152
92,5,3,3,5,5,1,0,1.17718418873847,0.147600611671805,0,1,1,0,0.184,0.656,0.924,0.424,0.208,0.076
95,3,3,3,3,3,-0,1,1.01715725660324,0.15650425106287,0,1,1,0,0.186,0.418,0.734,0.188,0.276,0.816
97,4,3,3,4,4,1,0,1.03795797750354,0.162718392908573,0,1,1,0,0.147,0.419,NaN,0.224,1.148,NaN
114,3,3,3,3,3,1,1,0.887511463835835,0.132469817996025,1,0,0,1,0.195,0.403,0.659,0.164,0.212,0.648
136,3,2,3,2,2,-0,0,0.927142011001706,0.154654340818524,1,0,0,1,0.174,0.47,NaN,0.256,0.652,NaN
143,2,3,3,2,3,-0,1,1.06732848845422,0.166595809161663,0,1,1,0,0.141,0.417,0.829,0.228,0.364,0.92
146,3,3,3,3,3,-0,1,1.10729527845979,0.157039685174823,0,1,1,0,0.161,0.425,0.753,0.22,0.272,0.808
166,1,3,3,1,3,-0,1,0.967254826799035,0.15625024586916,0,1,1,0,0.179,0.451,0.703,0.224,0.204,0.728
194,4,3,3,4,4,1,0,0.897147171199322,0.201129136607051,0,1,1,0,0.168,0.44,NaN,0.232,0.856,NaN
196,2,3,3,2,3,-0,1,1.11706576682627,0.157006088644266,0,1,1,0,0.246,0.534,0.81,0.244,0.236,0.604
201,2,3,3,2,3,-0,1,1.08780563808978,0.164045495912433,0,1,1,0,0.225,0.473,0.805,0.208,0.284,0.5
218,3,3,3,3,3,-0,1,1.01713366061449,0.186616962775588,0,1,1,0,0.153,0.397,0.825,0.204,0.372,0.68
226,3,3,3,3,3,-0,0,0.787127375602722,0.142585558816791,1,0,0,1,0.143,0.415,NaN,0.232,0.604,NaN
230,3,3,3,3,3,1,0,0.947061128914356,0.181011250242591,0,1,1,0,0.153,0.609,NaN,0.412,0.824,NaN
233,3,2,3,2,3,1,1,0.997820334509015,0.150969926267862,1,0,0,1,0.16,0.384,0.744,0.18,0.3,0.632
235,5,3,3,5,5,1,0,0.842642683535814,0.195615814998746,0,1,1,0,0.167,0.423,NaN,0.196,0.912,NaN
237,3,3,3,3,3,-0,0,0.807340515777469,0.14944582246244,1,0,0,1,0.121,0.369,NaN,0.196,0.832,NaN
252,3,1,3,1,3,1,1,1.12692000344396,0.165500156581402,1,0,0,1,0.234,0.47,0.738,0.184,0.224,0.644
270,3,3,3,3,3,1,0,0.996838910505176,0.182848168537021,0,1,1,0,0.155,0.439,NaN,0.24,0.892,NaN
277,5,3,3,5,5,1,0,0.877104435116053,0.154923718422651,0,1,1,0,0.222,0.51,NaN,0.228,0.836,NaN
280,3,3,3,3,3,-0,0,1.03726023994386,0.143607361242175,1,0,0,1,0.174,0.414,0.718,0.18,0.264,0.164
297,3,4,3,4,4,-0,0,1.21754124946892,0.166738905012608,1,0,0,1,0.145,0.421,NaN,0.224,1.636,NaN
320,3,4,3,4,4,-0,0,0.907219097018242,0.15949060767889,1,0,0,1,0.203,0.459,NaN,0.204,0.912,NaN
327,3,3,3,3,3,-0,0,0.867697520181537,0.155606167390943,1,0,0,1,0.144,0.448,NaN,0.248,1,NaN
359,5,3,3,5,5,1,0,0.907201202586293,0.150492692366242,0,1,1,0,0.224,0.52,NaN,0.236,0.908,NaN
372,3,5,3,5,5,-0,0,0.947214754298329,0.161259885877371,1,0,0,1,0.18,0.5,NaN,0.268,1.128,NaN
374,3,4,3,4,4,-0,0,1.00704088807106,0.17636800557375,1,0,0,1,0.133,0.405,NaN,0.216,1.22,NaN
