sim_id,true_eta,true_kappa,true_a,true_sigma,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_eta_hdi_3%,tada_eta_hdi_97%,tada_kappa_hdi_3%,tada_kappa_hdi_97%,tada_a_hdi_3%,tada_a_hdi_97%,tada_z_hdi_3%,tada_z_hdi_97%,tada_x0,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,0.42454802688998333,0.5,2.0,1.0,0.0,0.5,0.408,0.508,1.977,0.622,0.38752613892476095,0.4278866283094256,0.4906647110746888,0.5260954199720314,1.9446634329810117,2.01073608857929,0.6145368297448006,0.6308007005728097,0.48238800000000004,0.436,0.502,2.025,0.627,0.4164411570609379,0.4546763807676961,0.48355073749611815,0.5188363820489573,1.9894067327362042,2.0641956735874225,0.6190701677446634,0.6357287113107911,0.5143499999999999,1482.0926518440247,70.60225486755371,672.8027174472809,-0.016548026889983358,-0.03897798562675121,0.011451973110016667,0.026974505555726707,0.008000000000000007,0.016000000000000014,0.0020000000000000018,0.0040000000000000036,-0.02299999999999991,-0.011499999999999955,0.02499999999999991,0.012499999999999956,-0.01761199999999996,-0.03522399999999992,0.014349999999999863,0.028699999999999726
1,0.6701272062593124,0.5,2.0,1.0,0.0,0.5,0.632,0.485,1.967,0.62,0.6117003848500262,0.653952570912421,0.4675057211688147,0.5015168541726874,1.92931045846817,1.9942530496306325,0.6127944626479519,0.629895816479443,0.47208000000000006,0.658,0.477,1.98,0.622,0.639856488642944,0.6768584562513563,0.4618277588188128,0.4932676036642925,1.9466172608962207,2.0113124566481853,0.6135611263773252,0.6301915132479889,0.48312,1544.86003780365,130.27765822410583,667.6838178634644,-0.03812720625931243,-0.05689547581889807,-0.012127206259312406,-0.0180968719760046,-0.015000000000000013,-0.030000000000000027,-0.02300000000000002,-0.04600000000000004,-0.03299999999999992,-0.01649999999999996,-0.020000000000000018,-0.010000000000000009,-0.027919999999999945,-0.05583999999999989,-0.016880000000000006,-0.03376000000000001
2,0.4502758669708769,0.5,2.0,1.0,0.0,0.5,0.41,0.51,1.995,0.617,0.390520441028517,0.43229636434731683,0.4935952261667623,0.5266621593140424,1.9642754843983965,2.032212946163093,0.6089104901502482,0.6250384617225941,0.46682999999999986,0.444,0.502,2.039,0.62,0.4260865156388724,0.461728543089119,0.48467964092279847,0.5180675329719524,2.0053705974950096,2.079766454856487,0.6123922285559714,0.6285808900626962,0.48936,1554.9364202022552,96.19318175315857,818.9182004928589,-0.04027586697087693,-0.08944709216113042,-0.006275866970876898,-0.01393782663302897,0.010000000000000009,0.020000000000000018,0.0020000000000000018,0.0040000000000000036,-0.004999999999999893,-0.0024999999999999467,0.039000000000000146,0.019500000000000073,-0.033170000000000144,-0.06634000000000029,-0.010639999999999983,-0.021279999999999966
3,0.4027438417385661,0.5,2.0,1.0,0.0,0.5,0.385,0.498,1.965,0.626,0.3632611628596463,0.40404438384695035,0.4788997342333984,0.5158736621975164,1.9353305565351222,2.0000742672586953,0.6177583431246894,0.6333187531378791,0.4951800000000002,0.412,0.495,2.015,0.63,0.3922608713689722,0.4316129588446578,0.4769981885589339,0.5111012384263172,1.9779053693432465,2.0469448714926335,0.6228818524278915,0.6384799313792695,0.5239000000000003,1539.8053183555603,114.37659525871277,501.30121970176697,-0.01774384173856608,-0.044057388095543305,0.009256158261433889,0.022982743128925003,-0.0020000000000000018,-0.0040000000000000036,-0.0050000000000000044,-0.010000000000000009,-0.03499999999999992,-0.01749999999999996,0.015000000000000124,0.007500000000000062,-0.004819999999999824,-0.009639999999999649,0.023900000000000254,0.04780000000000051
4,0.4692048775241952,0.5,2.0,1.0,0.0,0.5,0.424,0.503,1.956,0.621,0.4052515813060595,0.44546447686313934,0.48505626392588835,0.5202195562324223,1.9203871336881542,1.9915458177103846,0.6126917814429039,0.6289724836991496,0.4733519999999998,0.463,0.49,1.993,0.624,0.4456741399086125,0.48357622257570587,0.47335404017809424,0.5057734106600824,1.9600136454335408,2.0262687965918373,0.6152642347445926,0.6310119760682641,0.49426400000000004,1602.6225111484528,71.78642439842224,777.0587983131409,-0.04520487752419522,-0.09634357972304788,-0.006204877524195185,-0.013224239178705514,0.0030000000000000027,0.006000000000000005,-0.010000000000000009,-0.020000000000000018,-0.04400000000000004,-0.02200000000000002,-0.006999999999999895,-0.0034999999999999476,-0.026648000000000227,-0.053296000000000454,-0.005735999999999963,-0.011471999999999927
5,0.338564215473836,0.5,2.0,1.0,0.0,0.5,0.307,0.514,1.968,0.623,0.28843747537444864,0.3308728815278681,0.4973613687500328,0.5311803348981986,1.9296319804488344,1.999193392452101,0.6150067707706848,0.6312248268267305,0.4841280000000001,0.344,0.502,2.023,0.628,0.32562745786362635,0.3660959280489799,0.48535716193867046,0.5191020706088482,1.988038226694484,2.058904191180777,0.6203467696429786,0.6361646129588486,0.5178880000000001,1503.157766342163,73.23214960098267,775.1095838546753,-0.03156421547383603,-0.09322962685132118,0.005435784526163945,0.016055401834350145,0.014000000000000012,0.028000000000000025,0.0020000000000000018,0.0040000000000000036,-0.03200000000000003,-0.016000000000000014,0.02300000000000013,0.011500000000000066,-0.015871999999999886,-0.03174399999999977,0.017888000000000126,0.03577600000000025
6,0.15415992171034418,0.5,2.0,1.0,0.0,0.5,0.101,0.516,1.934,0.613,0.08016064606983372,0.12553170565715566,0.49796878260510735,0.5331991819956219,1.9006374194859097,1.9675686057829032,0.6047010182526646,0.6205621248783104,0.4370839999999998,0.146,0.499,2.021,0.618,0.12375649864956191,0.1669610926800974,0.4817479108787027,0.5169485620596613,1.9815699350186429,2.0509469406789185,0.6107634389265496,0.6262138623818982,0.47695599999999994,1445.5077724456787,85.87383341789246,961.4419548511505,-0.05315992171034417,-0.3448362007489079,-0.008159921710344187,-0.05293153771624323,0.016000000000000014,0.03200000000000003,-0.0010000000000000009,-0.0020000000000000018,-0.06600000000000006,-0.03300000000000003,0.020999999999999908,0.010499999999999954,-0.0629160000000002,-0.1258320000000004,-0.023044000000000064,-0.04608800000000013
7,0.13209579190161191,0.5,2.0,1.0,0.0,0.5,0.07,0.521,1.917,0.617,0.04562413481732946,0.09353747370994298,0.5037872116210894,0.5388716128826541,1.8804414128083122,1.9493236936797602,0.6089313141911933,0.6252765362682826,0.44857800000000014,0.115,0.501,2.006,0.625,0.09336535609945645,0.1359482258657968,0.48544351707475575,0.5181955814923804,1.9729997022115837,2.0365544403491542,0.6163354090067485,0.63175205978611,0.5015000000000001,1403.3964712619781,71.76209282875061,794.6179168224335,-0.06209579190161191,-0.4700815295301937,-0.01709579190161191,-0.1294196556567469,0.02100000000000002,0.04200000000000004,0.0010000000000000009,0.0020000000000000018,-0.08299999999999996,-0.04149999999999998,0.005999999999999783,0.0029999999999998916,-0.05142199999999986,-0.10284399999999971,0.0015000000000000568,0.0030000000000001137
8,0.8678252480166252,0.5,2.0,1.0,0.0,0.5,0.86,0.497,2.004,0.621,0.8370115071148273,0.8825237300507086,0.4801367807014891,0.5166604084206894,1.968325204973524,2.03692302681591,0.6123122832578177,0.6287503489640395,0.48496799999999984,0.871,0.494,2.006,0.621,0.8517510041543228,0.8892364992784926,0.47698896711549044,0.5124248557975793,1.9740662534832916,2.045243521703433,0.6137820854400268,0.6290596475179951,0.485452,2103.8766252994537,103.00769066810608,938.4758198261261,-0.007825248016625208,-0.009017078074773064,0.0031747519833748017,0.0036582848800845004,-0.0030000000000000027,-0.006000000000000005,-0.006000000000000005,-0.01200000000000001,0.0040000000000000036,0.0020000000000000018,0.005999999999999783,0.0029999999999998916,-0.015032000000000156,-0.030064000000000313,-0.014548000000000005,-0.02909600000000001
9,0.17934872129263923,0.5,2.0,1.0,0.0,0.5,0.118,0.508,1.929,0.614,0.09079522705340988,0.13832076422456313,0.4904722338046131,0.5284496464532159,1.8980802406799586,1.9691581606371933,0.6061260312601668,0.6222649585711406,0.4398120000000001,0.162,0.49,2.01,0.623,0.14111203106879588,0.18673463310066574,0.473344463817065,0.5073394432460017,1.9789076430139876,2.0417153287679195,0.6147318605429695,0.630567819922014,0.4944600000000001,1994.6769988536835,110.5407464504242,1028.8810577392578,-0.06134872129263924,-0.3420638901157144,-0.01734872129263923,-0.09673178134530279,0.008000000000000007,0.016000000000000014,-0.010000000000000009,-0.020000000000000018,-0.07099999999999995,-0.035499999999999976,0.009999999999999787,0.004999999999999893,-0.06018799999999991,-0.12037599999999982,-0.005539999999999878,-0.011079999999999757
