trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
543,3,2,3,2,3,1,1,0.797249117866158,0.161228772252798,1,0,0,1,0.147,0.375,0.587,0.176,0.168,0.608
545,3,2,3,2,3,1,1,0.857087867334485,0.169748423621058,1,0,0,1,0.176,0.404,0.648,0.188,0.204,0.552
548,3,5,3,5,5,-0,0,1.01697394624352,0.13672381080687,1,0,0,1,0.187,0.479,NaN,0.24,1.028,NaN
554,3,5,3,5,5,-0,0,0.82695684581995,0.155619392171502,1,0,0,1,0.15,0.394,NaN,0.204,0.704,NaN
591,3,3,3,3,3,1,0,0.786830082535744,0.162891481071711,0,1,1,0,0.146,0.414,NaN,0.224,0.56,NaN
3,4,2,4,2,2,-0,0,0.827247044071555,0.12440662458539,1,0,0,1,0.214,0.45,NaN,0.184,0.728,NaN
19,4,1,4,1,4,1,1,0.857212053611875,0.156005596742034,1,0,0,1,0.155,0.391,0.619,0.18,0.188,0.668
30,2,4,4,2,4,-0,1,0.747287146747112,0.150459855794907,0,1,1,0,0.169,0.433,0.645,0.216,0.16,1.408
35,1,4,4,1,4,-0,1,0.827002987265587,0.124630160629749,0,1,1,0,0.145,0.505,0.721,0.32,0.164,0.796
47,2,4,4,2,4,-0,1,0.827149014919996,0.154366368427873,0,1,1,0,0.156,0.404,0.636,0.188,0.18,0.728
60,3,4,4,3,4,-0,1,0.797301560640335,0.150727683678269,0,1,1,0,0.181,0.465,0.701,0.224,0.184,0.716
63,4,4,4,4,4,1,1,0.967050494626164,0.17658856511116,1,0,0,1,0.169,0.421,0.685,0.2,0.224,0.472
82,5,4,4,5,4,-0,1,0.817262226715684,0.135872015729547,0,1,1,0,0.139,0.399,0.687,0.216,0.236,0.516
87,2,4,4,2,4,-0,1,0.926936622709036,0.144851829856634,0,1,1,0,0.167,0.419,0.723,0.208,0.248,0.604
89,4,3,4,3,4,1,1,0.817232128232718,0.136000676080585,1,0,0,1,0.187,0.403,0.639,0.164,0.196,0.48
105,3,4,4,3,4,-0,1,0.803786735981703,0.163496917113662,0,1,1,0,0.167,0.427,0.647,0.216,0.176,0.728
135,2,4,4,2,4,-0,1,0.907336883246899,0.139331659302115,0,1,1,0,0.184,0.44,0.724,0.196,0.232,0.972
152,3,4,4,3,4,-0,1,0.827266851440072,0.145229855552316,0,1,1,0,0.167,0.427,0.651,0.2,0.184,0.56
170,4,5,4,5,4,1,1,0.747289767488837,0.150617185980082,1,0,0,1,0.187,0.399,0.607,0.156,0.156,0.664
172,1,4,4,1,4,-0,1,0.851533461362123,0.14575925655663,0,1,1,0,0.147,0.515,0.779,0.312,0.22,0.296
177,3,4,4,3,4,-0,1,0.967026859521866,0.146745346486568,0,1,1,0,0.159,0.403,0.803,0.188,0.348,0.4
206,3,4,4,3,4,-0,1,0.796994401142001,0.151590567082167,0,1,1,0,0.161,0.417,0.657,0.212,0.196,1.132
216,3,4,4,3,4,-0,1,1.30736248940229,0.170514561235905,0,1,1,0,0.151,0.431,0.847,0.232,0.372,1.04
225,3,4,4,3,4,-0,1,0.73730649985373,0.14223325252533,0,1,1,0,0.156,0.388,0.62,0.192,0.18,0.688
232,5,4,4,5,5,1,0,1.0970889236778,0.142493279650807,0,1,1,0,0.164,0.44,0.852,0.228,0.352,0.104
239,4,4,4,4,4,1,1,0.987080300226808,0.182357041165233,1,0,0,1,0.133,0.505,0.881,0.328,0.332,0.368
244,4,1,4,1,4,1,1,0.837033122777939,0.173107001930475,1,0,0,1,0.17,0.374,0.626,0.164,0.212,0.508
255,5,4,4,5,5,1,0,0.957248421385884,0.179120732471347,0,1,1,0,0.153,0.373,0.577,0.18,0.164,0.16
259,4,1,4,1,4,1,1,0.876893920823932,0.156879965215921,1,0,0,1,0.171,0.439,0.711,0.216,0.224,0.58
263,4,3,4,3,4,1,1,0.947452656924725,0.161475943401456,1,0,0,1,0.162,0.406,0.65,0.204,0.204,0.664
264,3,4,4,3,4,-0,1,0.867011355236173,0.146395722404122,0,1,1,0,0.145,0.525,0.781,0.344,0.212,0.596
286,3,4,4,3,3,1,0,0.897000668570399,0.201489070430398,0,1,1,0,0.142,0.542,NaN,0.356,0.672,NaN
303,3,4,4,3,4,-0,1,1.02728427574039,0.154551843181252,0,1,1,0,0.189,0.489,0.777,0.24,0.228,0.524
305,2,4,4,2,4,-0,1,0.737399963662028,0.152091886848211,0,1,1,0,0.156,0.468,0.676,0.268,0.168,0.788
314,3,4,4,3,4,-0,1,1.20409666001797,0.13418460264802,0,1,1,0,0.235,0.603,0.883,0.328,0.22,0.508
341,3,4,4,3,4,-0,1,0.907166155055165,0.179608011618257,0,1,1,0,0.169,0.417,0.721,0.204,0.256,0.788
342,4,3,4,3,4,1,1,0.767342383041978,0.16577871888876,1,0,0,1,0.156,0.38,0.616,0.184,0.196,0.588
346,4,1,4,1,4,1,1,0.767154077067971,0.155611285939813,1,0,0,1,0.191,0.419,0.599,0.172,0.14,0.42
359,3,4,4,3,4,-0,1,0.817320240661502,0.138846792280674,0,1,1,0,0.162,0.43,0.662,0.224,0.18,0.464
366,2,4,4,2,4,-0,1,0.987118924036622,0.153090072795749,0,1,1,0,0.143,0.403,0.619,0.208,0.172,1.016
376,2,4,4,2,4,-0,1,0.896132064983249,0.152184180915356,0,1,1,0,0.135,0.383,0.859,0.204,0.432,0.544
382,5,4,4,5,4,-0,1,0.807230914011598,0.149130521342158,0,1,1,0,0.177,0.441,0.649,0.216,0.16,0.476
384,4,3,4,3,4,1,1,0.667217632755637,0.135191526263952,1,0,0,1,0.138,0.354,0.526,0.176,0.112,0.372
388,4,2,4,2,4,1,1,0.807166928425431,0.19923965446651,1,0,0,1,0.158,0.386,0.754,0.188,0.32,0.376
391,4,5,4,5,4,1,1,0.746998067945242,0.16088805347681,1,0,0,1,0.134,0.446,0.638,0.272,0.148,0.372
393,4,3,4,3,4,1,1,0.706900859251618,0.169731844216585,1,0,0,1,0.133,0.385,0.605,0.212,0.176,0.408
403,4,3,4,3,3,-0,0,1.25732804276049,0.159465676173568,1,0,0,1,0.183,0.383,0.631,0.156,0.2,0.26
406,4,3,4,3,4,1,1,1.00707576796412,0.17565606161952,1,0,0,1,0.15,0.394,0.726,0.204,0.284,0.664
