trialNum,firstVal,secondVal,firstIsChosen,decisionRT,firstFixLat,secondFixLat,thirdFixLat
15,2,1,1,0.946943983435631,0.155,0.583,0.843
21,2,3,0,0.937652803957462,0.187,0.403,NaN
36,2,5,0,0.786898208782077,0.156,0.4,NaN
49,2,4,0,0.726971674710512,0.154,0.39,NaN
54,2,3,0,0.786930916830897,0.158,0.438,NaN
58,2,4,0,0.917160226032138,0.247,0.507,NaN
65,2,4,0,0.807067830115557,0.141,0.373,NaN
97,2,3,1,0.947061972692609,0.204,0.44,0.736
100,2,3,0,0.937463777139783,0.258,0.49,NaN
101,2,5,0,0.797755185514688,0.156,0.444,NaN
127,2,5,0,0.746994046494365,0.148,0.392,NaN
145,2,4,0,0.826948327943683,0.161,0.397,NaN
150,2,2,1,1.01702649518847,0.203,0.455,0.763
154,2,1,0,0.78706619143486,0.149,0.413,NaN
158,2,1,0,1.28731031343341,0.235,0.483,0.751
174,2,1,1,0.947197901085019,0.15,0.422,0.714
176,2,1,0,0.916996020823717,0.141,0.421,NaN
196,2,5,0,0.837110996246338,0.156,0.408,NaN
209,2,2,1,0.997153095901012,0.18,0.456,0.728
210,2,5,0,0.857099708169699,0.154,0.43,NaN
214,2,5,0,0.846990510821342,0.177,0.405,NaN
227,2,1,1,1.0273018758744,0.168,0.464,0.756
237,2,5,0,0.897184940055013,0.154,0.414,NaN
240,2,3,0,0.886765737086535,0.142,0.498,NaN
243,2,2,0,0.98734169639647,0.182,0.458,NaN
275,2,5,0,0.937239369377494,0.269,0.497,NaN
276,2,5,0,0.827487112954259,0.144,0.4,NaN
285,2,3,0,0.83702689409256,0.174,0.45,NaN
304,2,5,0,0.827481271699071,0.164,0.412,NaN
349,2,1,1,1.04480623453856,0.144,0.412,0.712
350,2,5,0,0.797069501131773,0.146,0.418,NaN
367,2,5,0,0.917193546891212,0.241,0.509,NaN
381,2,1,1,1.00698854215443,0.174,0.406,0.81
386,2,3,0,0.797239847481251,0.14,0.388,NaN
